Object Number,Mask Index,Area,Major Axis Length,Minor Axis Length,Aspect Ratio,Mean Hue,Centroid Row,Centroid Col,Grid Number,Grid Row,Grid Col,Distance To Grid
42,8,1090,42.711702469863745,32.550634701756096,1.3121618936530126,34.288990825688074,622.8779816513761,506.7348623853211,45,5,5,6.535963319572753
43,61,1306,44.62588252152505,40.751971775719355,1.0950606946610084,49.35451761102603,615.7473200612558,583.7779479326186,46,5,6,9.86404297177086
44,6,1085,42.91860490237841,32.312589669249064,1.3282316688848612,35.41658986175115,614.3354838709678,662.3428571428572,47,5,7,9.752542598483503
45,4,1211,45.82250987871731,33.72362727062061,1.3587657552672876,34.12634186622626,605.523534269199,740.3104872006606,48,5,8,16.188506319831816
46,24,937,39.76366140054421,30.035715941482184,1.3238792602119,32.992529348986125,618.2678762006403,826.5133404482391,49,5,9,1.2367100976147363
47,17,913,40.81516720192293,28.594395849067105,1.4273834431530585,35.59802847754655,619.3242059145674,899.0832420591456,50,5,10,4.70686983041242
48,51,996,42.79794666044001,29.780598163916892,1.4371083624604744,39.380522088353416,705.6686746987951,195.95481927710844,51,6,1,3.1177317857505207
49,33,847,38.86995239516126,27.851232788631457,1.395627715661747,39.964580873671785,706.3341204250295,267.65053128689493,52,6,2,9.744264403684127
50,48,961,43.81681532117739,28.00240530170325,1.5647518436036716,38.950052029136316,699.0822060353798,341.9386056191467,53,6,3,13.849316936467174
51,47,939,39.3805259162575,30.429901714929986,1.2941391097867403,36.194888178913736,698.0298189563365,425.7699680511182,54,6,4,8.54206250923521
52,50,1031,43.37729651730588,30.338139761493814,1.429794208159124,37.22890397672163,698.6294859359845,507.3579049466537,55,6,5,4.724313917882551
53,11,1206,46.431748774872005,33.160804823828585,1.400199694233815,34.97927031509121,693.4369817578773,578.6268656716418,56,6,6,12.74792026274066
54,18,1128,44.8755574100769,32.124201554376434,1.3969392308199886,34.07535460992908,692.7491134751773,662.4787234042553,57,6,7,8.123320604297778
55,5,1005,40.68726600339835,31.516883261618574,1.2909673099861214,35.95522388059702,687.4099502487562,741.9512437810945,58,6,8,11.260173895708315
56,35,980,42.81797212593007,29.263549121242068,1.4631845217588118,36.970408163265304,690.0255102040817,819.1602040816326,59,6,9,8.426385222605482
57,29,1068,43.038947454608035,31.692095541299675,1.3580341318396465,36.4316479400749,688.0898876404494,897.7097378277153,60,6,10,8.998679183505283
